Date,cve_station,parameter,value,unit
01/01/2015 01:00,MER,UVA,0,17
01/01/2015 01:00,MON,UVA,0,17
01/01/2015 01:00,PED,UVA,0,17
01/01/2015 01:00,SAG,UVA,0,17
01/01/2015 01:00,SFE,UVA,0,17
01/01/2015 01:00,TLA,UVA,0,17
01/01/2015 02:00,MER,UVA,0,17
01/01/2015 02:00,MON,UVA,0,17
01/01/2015 02:00,PED,UVA,0,17
01/01/2015 02:00,SAG,UVA,0,17
01/01/2015 02:00,SFE,UVA,0,17
01/01/2015 02:00,TLA,UVA,0,17
01/01/2015 03:00,MER,UVA,0,17
01/01/2015 03:00,MON,UVA,0,17
01/01/2015 03:00,PED,UVA,0,17
01/01/2015 03:00,SAG,UVA,0,17
01/01/2015 03:00,SFE,UVA,0,17
01/01/2015 03:00,TLA,UVA,0,17
01/01/2015 04:00,MER,UVA,0,17
01/01/2015 04:00,MON,UVA,0,17
01/01/2015 04:00,PED,UVA,0,17
01/01/2015 04:00,SAG,UVA,0,17
01/01/2015 04:00,SFE,UVA,0,17
01/01/2015 04:00,TLA,UVA,0,17
01/01/2015 05:00,MER,UVA,0,17
01/01/2015 05:00,MON,UVA,0,17
01/01/2015 05:00,PED,UVA,0,17
01/01/2015 05:00,SAG,UVA,0,17
01/01/2015 05:00,SFE,UVA,0,17
01/01/2015 05:00,TLA,UVA,0,17
01/01/2015 06:00,MER,UVA,0,17
01/01/2015 06:00,MON,UVA,0,17
01/01/2015 06:00,PED,UVA,0,17
01/01/2015 06:00,SAG,UVA,0,17
01/01/2015 06:00,SFE,UVA,0,17
01/01/2015 06:00,TLA,UVA,0,17
01/01/2015 07:00,MER,UVA,0,17
01/01/2015 07:00,MON,UVA,0,17
01/01/2015 07:00,PED,UVA,0.001,17
01/01/2015 07:00,SAG,UVA,0,17
01/01/2015 07:00,SFE,UVA,0,17
01/01/2015 07:00,TLA,UVA,0,17
01/01/2015 08:00,MER,UVA,0.103,17
01/01/2015 08:00,MON,UVA,0.175,17
01/01/2015 08:00,PED,UVA,0.157,17
01/01/2015 08:00,SAG,UVA,0.109,17
01/01/2015 08:00,SFE,UVA,0.173,17
01/01/2015 08:00,TLA,UVA,0.123,17
01/01/2015 09:00,MER,UVA,0.557,17
01/01/2015 09:00,MON,UVA,0.956,17
01/01/2015 09:00,PED,UVA,0.727,17
01/01/2015 09:00,SAG,UVA,0.645,17
01/01/2015 09:00,SFE,UVA,1.014,17
01/01/2015 09:00,TLA,UVA,0.62,17
01/01/2015 10:00,MER,UVA,1.28,17
01/01/2015 10:00,MON,UVA,2.01,17
01/01/2015 10:00,PED,UVA,1.618,17
01/01/2015 10:00,SAG,UVA,1.375,17
01/01/2015 10:00,SFE,UVA,2.274,17
01/01/2015 10:00,TLA,UVA,1.398,17
01/01/2015 11:00,MER,UVA,2.088,17
01/01/2015 11:00,MON,UVA,3.47,17
01/01/2015 11:00,PED,UVA,2.363,17
01/01/2015 11:00,SAG,UVA,2.311,17
01/01/2015 11:00,SFE,UVA,3.429,17
01/01/2015 11:00,TLA,UVA,2.04,17
01/01/2015 12:00,MER,UVA,2.92,17
01/01/2015 12:00,MON,UVA,4.631,17
01/01/2015 12:00,PED,UVA,2.68,17
01/01/2015 12:00,SAG,UVA,3.156,17
01/01/2015 12:00,SFE,UVA,3.989,17
01/01/2015 12:00,TLA,UVA,3.042,17
01/01/2015 13:00,MER,UVA,3.526,17
01/01/2015 13:00,MON,UVA,5.168,17
01/01/2015 13:00,PED,UVA,3.176,17
01/01/2015 13:00,SAG,UVA,3.614,17
01/01/2015 13:00,SFE,UVA,3.585,17
01/01/2015 13:00,TLA,UVA,3.469,17
01/01/2015 14:00,MER,UVA,3.791,17
01/01/2015 14:00,MON,UVA,4.867,17
01/01/2015 14:00,PED,UVA,3.687,17
01/01/2015 14:00,SAG,UVA,3.803,17
01/01/2015 14:00,SFE,UVA,2.77,17
01/01/2015 14:00,TLA,UVA,2.707,17
01/01/2015 15:00,MER,UVA,3.25,17
01/01/2015 15:00,MON,UVA,4.159,17
01/01/2015 15:00,PED,UVA,3.56,17
01/01/2015 15:00,SAG,UVA,3.312,17
01/01/2015 15:00,SFE,UVA,3.936,17
01/01/2015 15:00,TLA,UVA,2.528,17
01/01/2015 16:00,MER,UVA,2.34,17
01/01/2015 16:00,MON,UVA,3.218,17
01/01/2015 16:00,PED,UVA,2.587,17
01/01/2015 16:00,SAG,UVA,2.389,17
01/01/2015 16:00,SFE,UVA,3.368,17
01/01/2015 16:00,TLA,UVA,2.317,17
01/01/2015 17:00,MER,UVA,1.45,17
01/01/2015 17:00,MON,UVA,1.827,17
01/01/2015 17:00,PED,UVA,1.512,17
01/01/2015 17:00,SAG,UVA,1.365,17
01/01/2015 17:00,SFE,UVA,1.986,17
01/01/2015 17:00,TLA,UVA,1.278,17
01/01/2015 18:00,MER,UVA,0.477,17
01/01/2015 18:00,MON,UVA,0.607,17
01/01/2015 18:00,PED,UVA,0.514,17
01/01/2015 18:00,SAG,UVA,0.442,17
01/01/2015 18:00,SFE,UVA,0.64,17
01/01/2015 18:00,TLA,UVA,0.431,17
01/01/2015 19:00,MER,UVA,0.024,17
01/01/2015 19:00,MON,UVA,0.03,17
01/01/2015 19:00,PED,UVA,0.029,17
01/01/2015 19:00,SAG,UVA,0.016,17
01/01/2015 19:00,SFE,UVA,0.035,17
01/01/2015 19:00,TLA,UVA,0.027,17
01/01/2015 20:00,MER,UVA,0,17
01/01/2015 20:00,MON,UVA,0,17
01/01/2015 20:00,PED,UVA,0,17
01/01/2015 20:00,SAG,UVA,0,17
01/01/2015 20:00,SFE,UVA,0,17
01/01/2015 20:00,TLA,UVA,0,17
01/01/2015 21:00,MER,UVA,0,17
01/01/2015 21:00,MON,UVA,0,17
01/01/2015 21:00,PED,UVA,0,17
01/01/2015 21:00,SAG,UVA,0,17
01/01/2015 21:00,SFE,UVA,0,17
01/01/2015 21:00,TLA,UVA,0,17
01/01/2015 22:00,MER,UVA,0,17
01/01/2015 22:00,MON,UVA,0,17
01/01/2015 22:00,PED,UVA,0,17
01/01/2015 22:00,SAG,UVA,0,17
01/01/2015 22:00,SFE,UVA,0,17
01/01/2015 22:00,TLA,UVA,0,17
01/01/2015 23:00,MER,UVA,0,17
01/01/2015 23:00,MON,UVA,0,17
01/01/2015 23:00,PED,UVA,0,17
01/01/2015 23:00,SAG,UVA,0,17
01/01/2015 23:00,SFE,UVA,0,17
01/01/2015 23:00,TLA,UVA,0,17
42006,MER,UVA,0,17
42006,MON,UVA,0,17
42006,PED,UVA,0,17
42006,SAG,UVA,0,17
42006,SFE,UVA,0,17
42006,TLA,UVA,0,17
